wl,n
0.3000,1.470
0.3100,1.428
0.3200,1.400
0.3300,1.379
0.3400,1.359
0.3500,1.338
0.3600,1.316
0.3700,1.297
0.3800,1.279
0.3900,1.263
0.4000,1.247
0.4100,1.229
0.4200,1.212
0.4300,1.196
0.4400,1.180
0.4500,1.167
0.4600,1.155
0.4700,1.142
0.4800,1.126
0.4900,1.110
0.5000,1.093
0.5100,1.073
0.5200,1.046
0.5300,1.002
0.5400,0.930
0.5500,0.825
0.5600,0.696
0.5700,0.565
0.5800,0.454
0.5900,0.376
0.6000,0.334
0.6100,0.317
0.6200,0.314
0.6300,0.317
0.6400,0.321
0.6500,0.326
0.6600,0.329
0.6700,0.332
0.6800,0.335
0.6900,0.339
0.7000,0.343
0.7100,0.347
0.7200,0.350
0.7300,0.354
0.7400,0.357
0.7500,0.360
0.7600,0.363
0.7700,0.367
0.7800,0.371
0.7900,0.377
0.8000,0.383

wl,k
0.3000,1.380
0.3100,1.421
0.3200,1.467
0.3300,1.511
0.3400,1.552
0.3500,1.593
0.3600,1.637
0.3700,1.683
0.3800,1.728
0.3900,1.773
0.4000,1.818
0.4100,1.862
0.4200,1.907
0.4300,1.952
0.4400,1.998
0.4500,2.042
0.4600,2.083
0.4700,2.119
0.4800,2.154
0.4900,2.186
0.5000,2.215
0.5100,2.235
0.5200,2.244
0.5300,2.242
0.5400,2.238
0.5500,2.248
0.5600,2.293
0.5700,2.382
0.5800,2.510
0.5900,2.661
0.6000,2.815
0.6100,2.957
0.6200,3.083
0.6300,3.197
0.6400,3.302
0.6500,3.400
0.6600,3.492
0.6700,3.583
0.6800,3.671
0.6900,3.757
0.7000,3.841
0.7100,3.923
0.7200,4.004
0.7300,4.084
0.7400,4.162
0.7500,4.240
0.7600,4.318
0.7700,4.396
0.7800,4.474
0.7900,4.550
0.8000,4.626
